,date,median_salary,mean_salary,population_size,number_of_jobs,area_size,borough_flag,average_price,houses_sold,no_of_crimes,area_barnet,area_bexley,area_brent,area_bromley,area_camden,area_city of london,area_croydon,area_ealing,area_east,area_east midlands,area_enfield,area_england,area_england and wales,area_great britain,area_greenwich,area_hackney,area_hammersmith and fulham,area_haringey,area_harrow,area_havering,area_hillingdon,area_hounslow,area_inner london,area_islington,area_kensington and chelsea,area_kingston upon thames,area_lambeth,area_lewisham,area_london,area_merton,area_newham,area_north east,area_north west,area_northern ireland,area_outer london,area_redbridge,area_richmond upon thames,area_scotland,area_south east,area_south west,area_southwark,area_sutton,area_tower hamlets,area_united kingdom,area_wales,area_waltham forest,area_wandsworth,area_west midlands,area_westminster,area_yorkshire and the humber
0,1999,21480.0,23620,162444.0,3188094.522019334,4323.0,1,64877.166666666664,2599.0,44789.72198324149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2000,22618.0,24696,163893.0,57000.0,4323.0,1,76473.33333333333,2795.0,46948.074046690825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2001,22323.0,26050,165654.0,54000.0,3780.0,1,87415.16666666667,3241.0,48715.8533853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2002,24813.0,26653,166357.0,52000.0,3780.0,1,109305.5,3426.0,50374.68671864493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2003,25358.0,27792,166210.0,55000.0,3780.0,1,140999.66666666666,3511.0,52129.77005197827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2004,26089.0,29088,165610.0,53000.0,3780.0,1,156973.58333333334,3782.0,53907.68671864493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2005,26680.0,28728,166275.0,53000.0,3780.0,1,163484.91666666666,2835.0,55631.68671864493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2006,26549.0,28660,167157.0,51000.0,3780.0,1,166883.0,3589.0,57438.02005197827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2007,30200.0,31994,169031.0,52000.0,3780.0,1,183395.25,4046.0,59073.77005197827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2008,29396.0,31795,172452.0,53000.0,3780.0,1,189251.5,1866.0,60702.02005197827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2009,30973.0,33126,177580.0,47000.0,3780.0,1,157183.0,1164.0,62358.6033853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2010,28527.0,32996,182838.0,51000.0,3780.0,1,166094.41666666666,1519.0,63999.1033853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2011,28201.0,33568,187029.0,54000.0,3780.0,1,163786.25,1468.0,65541.3533853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2012,33131.0,37059,190560.0,55000.0,3780.0,1,165432.08333333334,1339.0,66995.1033853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2013,32248.0,37214,194352.0,54000.0,3780.0,1,172459.83333333334,1690.0,68385.18671864494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2014,32698.0,36323,198294.0,59000.0,3780.0,1,198240.08333333334,2172.0,69731.8533853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2015,33018.0,36705,201979.0,62000.0,3780.0,1,230555.08333333334,2467.0,71147.18671864494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2016,30994.0,37959,206460.0,63000.0,3780.0,1,271213.3333333333,2286.0,72632.3533853116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2017,28553.0,32093,210711.0,66000.0,3780.0,1,287127.0833333333,2044.0,74179.02005197827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2018,29995.0,32671,211998.0,66000.0,3780.0,1,294513.4166666667,1972.0,75695.68671864494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1999,19568.0,23128,313469.0,3188094.522019334,4323.0,1,132130.08333333334,7229.0,88079.47169198339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2000,21761.0,25755,315784.0,138000.0,4323.0,1,126863.83333333333,11636.988257153474,79446.06343818604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2001,20916.0,26068,319481.0,138000.0,8675.0,1,163516.41666666666,6751.0,90237.82375543272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2002,23112.0,30210,320552.0,135000.0,8675.0,1,181494.0,6808.0,92557.4657660076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2003,23828.0,30518,321802.0,138000.0,8675.0,1,214676.66666666666,7159.0,94921.9657660076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2004,27441.0,30795,323723.0,135000.0,8675.0,1,247413.25,6211.0,97497.4657660076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2005,27033.0,31652,327541.0,136000.0,8675.0,1,268037.8333333333,6995.0,100192.04909934093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2006,26071.0,30923,330801.0,138000.0,8675.0,1,279342.5,5264.0,102827.13243267428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2007,27436.0,33007,334837.0,136000.0,8675.0,1,288025.4166666667,6538.0,105276.29909934093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2008,27978.0,34468,339212.0,140000.0,8675.0,1,319806.4166666667,7193.0,107508.7157660076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2009,30496.0,35013,345829.0,143000.0,8675.0,1,335782.5,3967.0,109622.4657660076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2010,30000.0,34077,351438.0,141000.0,8675.0,1,298917.4166666667,2800.0,111754.79909934093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2011,30237.0,33062,357538.0,147000.0,8675.0,1,328669.6666666667,4208.0,113899.29909934093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2012,29594.0,33044,363956.0,154000.0,8675.0,1,337619.6666666667,3815.0,116079.7157660076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2013,29353.0,33766,369088.0,159000.0,8675.0,1,355815.6666666667,4168.0,118202.4657660076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2014,31162.0,34936,374915.0,165000.0,8675.0,1,370102.3333333333,4616.0,120178.4657660076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2015,30900.0,34730,379691.0,168000.0,8675.0,1,420668.8333333333,5091.0,122104.04909934093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2016,32623.0,35315,386083.0,169000.0,8675.0,1,470184.5,4947.0,124121.7157660076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2017,32143.0,36818,387803.0,176000.0,8675.0,1,521981.0,5291.0,126274.54909934093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2018,29927.0,36776,392140.0,170000.0,8675.0,1,535644.5833333334,4158.0,128496.4657660076,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1999,18621.0,21386,217458.0,3188094.522019334,4323.0,1,521827.75,3431.0,133406.88243267426,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2000,19363.0,22580,218717.0,76000.0,4323.0,1,84493.08333333333,4794.0,144329.97140072528,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2001,20217.0,23559,218757.0,75000.0,6429.0,1,99173.83333333333,4713.0,146488.3234641746,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2002,21101.0,23517,219123.0,79000.0,6429.0,1,113003.75,4775.0,148282.74481337026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2003,22247.0,24723,220016.0,77000.0,6429.0,1,178463.0,10620.988257153474,135696.56314692795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2004,20946.0,24617,220917.0,85000.0,6429.0,1,129748.33333333333,5875.0,149869.8281467036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2005,23936.0,28162,222391.0,80000.0,6429.0,1,160087.83333333334,5053.0,151429.24481337026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2006,24719.0,28847,223280.0,73000.0,6429.0,1,175090.91666666666,5603.0,152982.16148003694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2007,26457.0,30375,224625.0,74000.0,6429.0,1,185548.41666666666,3920.0,154492.66148003694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2008,28326.0,31305,226652.0,73000.0,6429.0,1,189568.25,4702.0,155970.41148003694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2009,28222.0,31988,228146.0,73000.0,6429.0,1,203694.75,5265.0,157323.8281467036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2010,27738.0,30821,230711.0,77000.0,6429.0,1,214470.16666666666,3198.0,158654.8281467036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2011,28638.0,31812,232774.0,78000.0,6429.0,1,189827.75,1903.0,159972.41148003694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2012,27440.0,30833,234271.0,78000.0,6429.0,1,199443.08333333334,2584.0,161177.74481337026,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2013,28512.0,32463,236687.0,80000.0,6429.0,1,200492.83333333334,2429.0,162249.66148003694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2014,28505.0,31878,239865.0,80000.0,6429.0,1,201324.75,2796.0,163255.0781467036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2015,29664.0,33367,242142.0,86000.0,6429.0,1,209984.08333333334,3167.0,164242.0781467036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2016,27441.0,32666,244760.0,86000.0,6429.0,1,234418.5,3916.0,165263.16148003694,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2017,30733.0,33857,246124.0,91000.0,6429.0,1,266721.0833333333,3954.0,166272.8281467036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2018,27441.0,34496,247258.0,87000.0,6429.0,1,311354.5,3625.0,167367.3281467036,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1999,18532.0,20911,260317.0,3188094.522019334,4323.0,1,340938.75,3085.0,169836.5781467036,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2000,22348.0,23726,264945.0,122000.0,4323.0,1,339731.0833333333,3003.0,171308.49481337026,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2001,21878.0,24164,269620.0,116000.0,4323.0,1,106775.33333333333,4363.0,181898.2211094679,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2002,21350.0,24071,269871.0,116000.0,4323.0,1,131727.16666666666,4752.0,184056.57317291747,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2003,23018.0,29790,268323.0,119000.0,4323.0,1,151945.83333333334,4435.0,186444.27386073399,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2004,23323.0,25416,268335.0,119000.0,4323.0,1,173236.16666666666,4858.0,188951.10719406733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2005,24209.0,27371,270939.0,118000.0,4323.0,1,209853.66666666666,4234.0,191477.10719406733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2006,25279.0,29712,276504.0,110000.0,4323.0,1,160156.25,10562.988257153474,173264.81285566982,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2007,25763.0,28503,283273.0,111000.0,4323.0,1,229950.41666666666,4502.0,194222.44052740067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2008,27326.0,29631,290901.0,109000.0,4323.0,1,240006.41666666666,3218.0,196838.60719406733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2009,27503.0,31033,298118.0,110000.0,4323.0,1,248377.0,3701.0,199486.19052740067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2010,25997.0,29353,304785.0,114000.0,4323.0,1,273919.75,4424.0,201797.77386073399,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2011,26772.0,29609,312245.0,115000.0,4323.0,1,298829.0833333333,2880.0,204004.44052740067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2012,27577.0,32089,314660.0,123000.0,4323.0,1,269231.9166666667,1273.0,206288.44052740067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2013,28034.0,34480,317264.0,125000.0,4323.0,1,279313.1666666667,2361.0,208706.19052740067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2014,29514.0,33484,320762.0,131000.0,4323.0,1,296497.9166666667,2185.0,211233.69052740067,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2015,29987.0,34281,324012.0,136000.0,4323.0,1,309097.4166666667,2118.0,213730.85719406733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2016,30699.0,36579,328254.0,148000.0,4323.0,1,327120.1666666667,2233.0,215854.52386073399,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2017,30134.0,35840,329102.0,157000.0,4323.0,1,375764.5833333333,2975.0,217946.35719406733,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2018,30366.0,35830,330795.0,157000.0,4323.0,1,426058.0833333333,3094.0,220015.52386073399,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1999,16720.0,21293,294902.0,3188094.522019334,4323.0,1,490821.0,2547.0,224693.27386073399,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2000,16401.0,21178,295317.0,115000.0,4323.0,1,492814.75,1952.0,227263.69052740067,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2001,15684.0,19749,296218.0,114000.0,15013.0,1,482723.0,1685.0,229819.44052740067,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2002,16635.0,21513,296668.0,119000.0,15013.0,1,114435.0,6305.0,240766.22081821118,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2003,19042.0,25474,297253.0,125000.0,15013.0,1,137142.75,7323.0,242924.57288166074,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2004,21192.0,27617,297307.0,126000.0,15013.0,1,155603.25,6589.0,245088.21957476472,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2005,24241.0,29955,299421.0,125000.0,15013.0,1,173942.08333333334,8096.0,247441.38624143138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2006,25715.0,#,300963.0,126000.0,15013.0,1,207156.41666666666,6859.0,249761.88624143138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2007,25666.0,35021,302625.0,136000.0,15013.0,1,226347.25,8035.0,252168.13624143138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2008,27236.0,33378,304968.0,130000.0,15013.0,1,236543.08333333334,10998.988257153474,232132.81256441292,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
